SERVICE_RH;ID_NAT_FRT;CLE_FRT_MINI;SURFACE_CADASTRALE;DOMANIAL;CADRE_LEGAL_GESTION;DATE_EXPIRATION_CONTRAT;CODE_CHORUS;CLASSEMENT_AGRICOLE;TYPE_COPROPRIETE;PROPRIO_CATEGORIE;PROPRIO_CCLIENT;PROPRIO_MOT_DIR;LIBELLE_ARTICLE;LIBELLE_STRICT;LIBELLE_USAGE;REPRESENTANT_CATEGORIE;REPRESENTANT_CCLIENT;REPRESENTANT_MOT_DIR;REPRESENTANT_COMMENTAIRE;REPRESENTANT_LIB;REPRESENTANT_CP;REPRESENTANT_COMMUNE;REGROUPEMENT_ID_NAT_FRT;REGROUPEMENT_LIBELLE;FORET_COMMENTAIRE;DEPARTEMENT_MAJORITAIRE;DATE_DEBUT_VALIDITE;DATE_FIN_VALIDITE
8020;F08944Z;EGPRSU;2,091;NON;RF;;;PLAINE;X;39;1,86806E+13;EGPRSUND;de l';église luthérienne de sundhoffen;Forêt de l'Eglise Luthérienne De Sundhoffen;2;1,86806E+13;EGPRSUND;;PAROISSE PROTESTANTE DE SUNDHOFF ;68280;SUNDHOFFEN;;;;68;01/01/1964;31/12/9999
8020;F08442R;EGUISHEI;334,4218;NON;RF;;;PLAINE;X;21;2,16801E+13;CFOEGUISHE;d';eguisheim;Forêt communale d'Eguisheim;2;2,16801E+13;CFOEGUISHE;;COMMUNE de EGUISHEIM ;68420;EGUISHEIM;;;;68;01/01/1964;31/12/9999
8020;F08607A;ELSENHEI;92,7976;NON;RF;;;PLAINE;X;21;2,16701E+13;CFOELSENHE;d';elsenheim;Forêt communale d'Elsenheim;2;2,16701E+13;CFOELSENHE;;COMMUNE d'ELSENHEIM ;67390;ELSENHEIM;;;;68;01/01/1964;31/12/9999
8020;F08467Q;ERSTEIN;816,6224;NON;RF;;;PLAINE;X;21;2,16701E+13;CFOERSTEIN;d';erstein;Forêt communale d'Erstein;2;2,16701E+13;CFOERSTEIN;;COMMUNE d'ERSTEIN ;67151;ERSTEIN;;;;67;01/01/1964;31/12/9999
8020;F08731U;ESCHAU;44,7459;NON;RF;;;PLAINE;X;21;2,16701E+13;CFOESCHAU;d';eschau;Forêt communale d'Eschau;2;2,16701E+13;CFOESCHAU;;COMMUNE d'ESCHAU ;67114;ESCHAU;;;;67;01/01/1964;31/12/9999
8020;F08945A;ESCHBACH;166,5271;NON;RF;;;MONTAGNE;X;21;2,16801E+13;CFOESCHBAC;d';eschbach-au-val;Forêt communale d'Eschbach-Au-Val;2;2,16801E+13;CFOESCHBAC;;COMMUNE de ESCHBACH AU VAL ;68140;ESCHBACH AU VAL;;;;68;01/01/1964;31/12/9999
8020;F08541M;FORTSCHW;27,9985;NON;RF;;;PLAINE;X;21;2,16801E+13;CFOFORTSCH;de;fortschwihr;Forêt communale de Fortschwihr;2;2,16801E+13;CFOFORTSCH;;COMMUNE de FORTSCHWIHR ;68320;FORTSCHWIHR;;;;68;01/01/1964;31/12/9999
8020;F08357K;FRE;958,6199;NON;RF;;;MONTAGNE;X;21;2,16801E+13;CFOFRELAND;de;fréland;Forêt communale de Fréland;2;2,16801E+13;CFOFRELAND;;COMMUNE de FRELAND ;68240;FRELAND;;;;68;01/01/1964;31/12/9999
8020;F08828N;FRIESENH;45,0361;NON;RF;;;PLAINE;X;21;2,16701E+13;CFOFRIESE;de;friesenheim;Forêt communale de Friesenheim;2;2,16701E+13;CFOFRIESE;;COMMUNE de FRIESENHEIM ;67860;FRIESENHEIM;;;;67;01/01/1964;31/12/9999
8020;F08370X;GEISWASS;31,2647;NON;RF;;;PLAINE;X;21;2,16801E+13;CFOGEISWAS;de;geiswasser;Forêt communale de Geiswasser;;2,16801E+13;CFOGEISWAS;;COMMUNE de GEISWASSER ;68600;GEISWASSER;;;;68;01/01/1964;31/12/9999
